solve_index,sim_time,solve_time_ms,osqp_status,osqp_iter,objective_value,fallback_used,tau1,tau2
0,0.0000,0.3631,1,75,-1321.1995,0,20.0000,1.7741
1,0.0200,0.2964,1,75,-1421.1409,0,20.0000,2.4546
2,0.0400,0.3127,1,75,-1538.9414,0,19.7302,2.2766
3,0.0600,0.2969,1,75,-1670.4455,0,10.8983,0.6728
4,0.0800,0.2956,1,75,-1802.3376,0,5.2249,-0.2854
5,0.1000,0.2352,1,50,-1932.1957,0,2.3638,-0.6778
6,0.1200,0.2398,1,50,-2056.1001,0,1.0375,-0.7839
7,0.1400,0.3174,1,50,-2171.8026,0,0.4470,-0.7701
8,0.1600,0.1881,1,25,-2278.4814,0,0.1909,-0.7133
9,0.1800,0.1910,1,25,-2376.1390,0,0.0827,-0.6454
10,0.2000,0.1957,1,25,-2465.1907,0,0.0390,-0.5785
11,0.2200,0.1994,1,25,-2546.2340,0,0.0230,-0.5169
12,0.2400,0.3062,1,25,-2619.9296,0,0.0184,-0.4615
13,0.2600,0.1869,1,25,-2686.9409,0,0.0186,-0.4122
14,0.2800,0.2826,1,25,-2747.9039,0,0.0204,-0.3686
15,0.3000,0.1902,1,25,-2803.4131,0,0.0226,-0.3300
16,0.3200,0.1849,1,25,-2854.0153,0,0.0247,-0.2958
17,0.3400,0.2141,1,25,-2900.2078,0,0.0267,-0.2654
18,0.3600,0.1842,1,25,-2942.4394,0,0.0283,-0.2383
19,0.3800,0.2099,1,25,-2981.1130,0,0.0297,-0.2142
20,0.4000,0.1828,1,25,-3016.5886,0,0.0308,-0.1927
21,0.4200,0.2104,1,25,-3049.1867,0,0.0316,-0.1735
22,0.4400,0.3159,1,25,-3079.1923,0,0.0323,-0.1563
23,0.4600,0.2019,1,25,-3106.8585,0,0.0328,-0.1409
24,0.4800,0.2580,1,25,-3132.4096,0,0.0330,-0.1270
25,0.5000,0.1883,1,25,-3156.0446,0,0.0332,-0.1145
26,0.5200,0.2174,1,25,-3177.9402,0,0.0332,-0.1033
27,0.5400,0.2016,1,25,-3198.2533,0,0.0330,-0.0932
28,0.5600,0.1883,1,25,-3217.1234,0,0.0328,-0.0841
29,0.5800,0.1901,1,25,-3234.6749,0,0.0325,-0.0759
30,0.6000,0.2289,1,25,-3251.0186,0,0.0320,-0.0685
31,0.6200,0.2479,1,25,-3266.2538,0,0.0315,-0.0618
32,0.6400,0.1891,1,25,-3280.4696,0,0.0309,-0.0557
33,0.6600,0.2043,1,25,-3293.7458,0,0.0302,-0.0503
34,0.6800,0.3091,1,25,-3306.1546,0,0.0295,-0.0453
35,0.7000,0.1981,1,25,-3317.7612,0,0.0288,-0.0409
36,0.7200,0.2012,1,25,-3328.6244,0,0.0280,-0.0368
37,0.7400,0.1937,1,25,-3338.7980,0,0.0272,-0.0332
38,0.7600,0.2084,1,25,-3348.3307,0,0.0263,-0.0299
39,0.7800,0.1875,1,25,-3357.2672,0,0.0255,-0.0269
40,0.8000,0.2143,1,25,-3365.6481,0,0.0246,-0.0242
41,0.8200,0.2007,1,25,-3373.5109,0,0.0238,-0.0218
42,0.8400,0.1965,1,25,-3380.8901,0,0.0229,-0.0196
43,0.8600,0.1865,1,25,-3387.8173,0,0.0220,-0.0176
44,0.8800,0.1905,1,25,-3394.3218,0,0.0212,-0.0158
45,0.9000,0.1918,1,25,-3400.4308,0,0.0203,-0.0142
46,0.9200,0.1873,1,25,-3406.1693,0,0.0195,-0.0127
47,0.9400,0.1844,1,25,-3411.5606,0,0.0187,-0.0114
48,0.9600,0.1923,1,25,-3416.6265,0,0.0179,-0.0102
49,0.9800,0.2001,1,25,-3421.3870,0,0.0171,-0.0091
50,1.0000,0.1865,1,25,-3425.8610,0,0.0164,-0.0082
51,1.0200,0.1841,1,25,-3430.0659,0,0.0156,-0.0073
52,1.0400,0.1942,1,25,-3434.0183,0,0.0149,-0.0065
53,1.0600,0.1965,1,25,-3437.7335,0,0.0142,-0.0058
54,1.0800,0.1879,1,25,-3441.2256,0,0.0136,-0.0052
55,1.1000,0.2608,1,25,-3444.5083,0,0.0129,-0.0046
56,1.1200,0.2290,1,25,-3447.5941,0,0.0123,-0.0041
57,1.1400,0.2001,1,25,-3450.4947,0,0.0117,-0.0036
58,1.1600,0.1835,1,25,-3453.2213,0,0.0111,-0.0032
59,1.1800,0.1933,1,25,-3455.7842,0,0.0106,-0.0028
60,1.2000,0.1801,1,25,-3458.1932,0,0.0100,-0.0025
61,1.2200,0.1826,1,25,-3460.4575,0,0.0095,-0.0022
62,1.2400,0.2254,1,25,-3462.5857,0,0.0090,-0.0019
63,1.2600,0.1833,1,25,-3464.5859,0,0.0086,-0.0017
64,1.2800,0.2006,1,25,-3466.4658,0,0.0081,-0.0015
65,1.3000,0.2075,1,25,-3468.2323,0,0.0077,-0.0013
